business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,query_id,input_query_url,input_type,input_result_page,input_timestamp,input_location_lat,input_location_lon,input_radius_m,input_file,opening_hours.open_now,permanently_closed,price_level,duplicated_place
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/airport-71.png,#10BDFF,https://maps.gstatic.com/mapfiles/place_api/icons/v2/airport_pinlet,Hazel Green Airport,"list(height = 3024, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/100262524218549012090\"">Dennis Dunaway</a>"", photo_reference = ""AfLeUgMoVRHnHmG-aqblIurGdk4h5O51GuV5AmXMDUW1BcRJ0Va8VfTQeNVLkT4MhKx5EIT5CXXi6J22tntTbWqMaf4uYc-_HUuTEqSYmxahaAl20J-AKcALJZL_uX8sqpvJ4_Rw1Qr7Su1yXQm0ZGa0_Mm7KZW9wWCr8T58GXfFnStzFrGr"", width = 4032)",ChIJleTfDbpGYogRgQ0uLHNTElo,4.6,ChIJleTfDbpGYogRgQ0uLHNTElo,GOOGLE,"airport, point_of_interest, establishment",9,"342 Opp Reynolds Road, Hazel Green",34.9174,-86.6454,34.919,-86.644,34.9163,-86.6467,"W983+XV Hazel Green, AL, USA",866MW983+XV,858a2657-4801-4109-a16c-eeeb5ccaff30,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=airport&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",airport,1,2023-01-30 22:53:11,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-airport-0001.json,,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/airport-71.png,#10BDFF,https://maps.gstatic.com/mapfiles/place_api/icons/v2/airport_pinlet,Epps Airpark-00AL,"list(height = 2988, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/110684974025152995448\"">Dane Messex</a>"", photo_reference = ""AfLeUgPXnYyGucM0H3kUoAszQgsIKeLPrgMOUoi7tqnoyz8nXIJcjuVq148BjeouHfa41-fyTKZ31H05dSeEWCAxWN5SIQsQOGKT8g55QvH0YxRBaph7jMSRQlHhVGBdkQ3LpDRDSNkGgv-kSjhzsnbGJAu7YSyhfkxa_OcZKsEb1rW7SXEg"", width = 5312)",ChIJJ9lnWB1dYogRkhkQFOP7cg0,4.6,ChIJJ9lnWB1dYogRkhkQFOP7cg0,GOOGLE,"airport, point_of_interest, establishment",5,"1635 Harvest Road, Harvest",34.8647,-86.7701,34.8661,-86.7688,34.8634,-86.7715,"V67H+VX Harvest, AL, USA",866MV67H+VX,858a2657-4801-4109-a16c-eeeb5ccaff30,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=airport&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",airport,1,2023-01-30 22:53:11,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-airport-0001.json,,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Affordable Used Cars,"list(height = 768, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/117024240161940539659\"">Affordable Used Cars</a>"", photo_reference = ""AfLeUgN2sJgbgn1xRdbyJcw6z8MD5dqlIcn31oM1sApO5zY_eOp0Z8-g2iIG3d6UxeqIf2qNVqBLL2YxTJt72H4QDb3zNEmr5YMv2SiPwkOQk57v_B071sb1dmzCRLSFvMeyfeh8EGFfbzCepWw2szNhu_VbI-DHg1fnas62hatjagmcYNnD"", width = 1024)",ChIJ07rbuA5bYogRwCKsubFHN-Y,4.1,ChIJ07rbuA5bYogRwCKsubFHN-Y,GOOGLE,"car_dealer, store, point_of_interest, establishment",9,"9222 Alabama 53, Ardmore",34.9367,-86.7759,34.938,-86.7747,34.9353,-86.7774,"W6PF+MM Ardmore, AL, USA",866MW6PF+MM,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"DX2 Logistics, LLC","list(height = 939, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/108089152700493649569\"">DX2 Logistics, LLC</a>"", photo_reference = ""AfLeUgNTEuEDhRahh7wemHtBWO1dpHMcugZvlKwfcQ9OUowP7AZO_uFh8OmnbamPnJ996eMx8szNYFd0E5ZlzRXRk-IQRpm6w6m1Kj_1DeLJb-reqSBeTF1HNEaFwx0hANRHGZ1vjHhKMXhyuAyjqrFLO9ZVhl9Gz-ArB1R6qa380_v2CS8j"", width = 1920)",ChIJgYVd9PtCYogRyJ81NqhuHCY,4.3,ChIJgYVd9PtCYogRyJ81NqhuHCY,GOOGLE,"moving_company, car_dealer, store, point_of_interest, establishment",6,"186 Cloverbrook Drive, Harvest",34.8564,-86.7075,34.8579,-86.7062,34.8552,-86.7089,"V74R+HX Harvest, AL, USA",866MV74R+HX,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Wholesale Used Cars,"list(height = 3264, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/100101637870569465963\"">Emmy slays</a>"", photo_reference = ""AfLeUgOrgO_fLxIWtdq5jd_C0qwfb29tvL-cdMlZAxMmhC24WWMTUNre_K9QTOV8mjiQ6RcICoZovOXLXMuy7m9ueHiLHoVARIl5y_MeWnPL8zTqyE-wuRdY3hBfykXRu0aYXrWOFqFh_uhK-NFvRJ4NvwA2MGgL4rlAmwuhEs8uGkLYAirH"", width = 1836)",ChIJFwTrJK04YogRja0xUZvAIV0,3.5,ChIJFwTrJK04YogRja0xUZvAIV0,GOOGLE,"car_dealer, store, point_of_interest, establishment",75,"13361 Hwy 231/431 N, U.S. 231, Hazel Green",34.9091,-86.5725,34.9104,-86.5708,34.9077,-86.5735,"WC5G+JX Hazel Green, AL, USA",866MWC5G+JX,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Harris Auto Sales,"list(height = 480, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/113412158886417435550\"">Matthew M.</a>"", photo_reference = ""AfLeUgPjcyM2CrGWD2Yt5is_4VwPkXVunW-H_IokjFwRoRpKqh-HEAFnLYSanj2a6r6-avzC4LJ-57khm1rA3K6htne4KAjAoywU0WMvznP-ShFRSpEY4aTJsiebvdI2DLc2O7BOY36tyJdpl-N62FHwF1D6m30PYrVk24lcbAOAspqoU575"", width = 640)",ChIJpychKRhEYogRsEX1swmzyvs,5,ChIJpychKRhEYogRsEX1swmzyvs,GOOGLE,"car_dealer, store, point_of_interest, establishment",1,"1450 Ready Section Road, Hazel Green",34.928,-86.6719,34.9293,-86.6705,34.9266,-86.6732,"W8HH+56 Hazel Green, AL, USA",866MW8HH+56,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TFF Auto Center,"list(height = 3024, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/116432435774634290170\"">Hi No</a>"", photo_reference = ""AfLeUgP_h_TSLQQXt81vm0IhCAua9dkqr8eUioo3VPB3j4qhyjyvSOu9lywp5kOvij2H6Epm1h5BlQKX2W0ip35eg0C0PxVmzWbx6fCP3gUXlRiCAil0wTGyaNM020KZRLZKjWWMelQAlJyxKmLLPsKH692F-YlmSwr5gCZQAC9YgqIqpGh5"", width = 4032)",ChIJn4fsIWlbYogRZk6uITnw83I,4.8,ChIJn4fsIWlbYogRZk6uITnw83I,GOOGLE,"car_rental, car_dealer, car_repair, store, point_of_interest, establishment",21,"8710B Alabama 53, Toney",34.922,-86.7649,34.9233,-86.7636,34.9206,-86.7663,"W6CP+R2 Toney, AL, USA",866MW6CP+R2,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,T & J Auto Sales/ U-Haul Dealer,list(),ChIJcZrGkUdFYogRjK0hBnq6LCc,,ChIJcZrGkUdFYogRjK0hBnq6LCc,GOOGLE,"car_dealer, store, point_of_interest, establishment",,"11829 Pulaski Pike, Toney",34.9321,-86.7135,34.9335,-86.7122,34.9308,-86.7149,"W7JP+RH Toney, AL, USA",866MW7JP+RH,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,H&D Used Auto,list(),ChIJRVXb5DJDYogRgvzUFw_mwWU,,ChIJRVXb5DJDYogRgvzUFw_mwWU,GOOGLE,"car_dealer, store, point_of_interest, establishment",,"9741 Pulaski Pike, Toney",34.8976,-86.6671,34.899,-86.6657,34.8963,-86.6684,"V8XM+25 Toney, AL, USA",866MV8XM+25,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Champs Car Sales,"list(height = 1296, html_attributions = ""<a href=\""https://maps.google.com/maps/contrib/105717691553357042766\"">Champs Car Sales</a>"", photo_reference = ""AfLeUgOW4FqWXg_GAzmyBr9_qxLwRHedNUKYXjUNK--tZKbXR85GZGnQm_ibVPX5ne8uALy0tvitprH5mqtqohHAQM0FH9cGHe3I4iPr2XmSJAgrULQXweyB_s8Yo4sZGptp7jVDhGX-H242-xS3RWyFVfPWGouZ85m5bZx6Wf_QWb46wE90"", width = 1936)",ChIJcbJYcw1bYogR9GYZJhYBuBw,4.6,ChIJcbJYcw1bYogR9GYZJhYBuBw,GOOGLE,"car_dealer, store, point_of_interest, establishment",16,"9078 Alabama 53, Toney",34.9324,-86.773,34.9337,-86.7718,34.931,-86.7745,"W6JG+XR Toney, AL, USA",866MW6JG+XR,b796689b-962b-4ca4-8eae-05b8bc65e439,"https://maps.googleapis.com/maps/api/place/nearbysearch/json?fields=place_id,name,price_level,photos,formatted_address,opening_hours,rating,types,geometry,permanently_closed&location=34.96065,-86.69641&radius=13939&type=car_dealer&key=AIzaSyCiykHQ2gbUOarjnuIQGmg1Qjy4PD3cvKU",car_dealer,1,2023-01-30 22:53:14,34.9607,-86.6964,13939,../tmp/scraped_data/gplace_results-geom_1-car_dealer-0001.json,FALSE,,,FALSE
